scope,run,split_seed,model,precision,recall,f1,tp,fp,fn,tn
incubator-mxnet,19,25,LR,0.4666666666666667,0.35,0.4,7,8,13,127
incubator-mxnet,19,25,SVM,0.6666666666666666,0.3,0.41379310344827586,6,3,14,132
incubator-mxnet,20,26,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,20,26,LR,0.7333333333333333,0.55,0.6285714285714286,11,4,9,131
incubator-mxnet,20,26,SVM,0.75,0.45,0.5625,9,3,11,132
incubator-mxnet,21,27,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,21,27,LR,0.7058823529411765,0.6,0.6486486486486487,12,5,8,130
incubator-mxnet,21,27,SVM,0.6923076923076923,0.45,0.5454545454545454,9,4,11,131
incubator-mxnet,22,28,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,22,28,LR,0.47619047619047616,0.5,0.4878048780487805,10,11,10,124
incubator-mxnet,22,28,SVM,0.5294117647058824,0.45,0.4864864864864865,9,8,11,127
incubator-mxnet,23,29,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,23,29,LR,0.6875,0.55,0.6111111111111112,11,5,9,130
incubator-mxnet,23,29,SVM,0.7692307692307693,0.5,0.6060606060606061,10,3,10,132
incubator-mxnet,24,30,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,24,30,LR,0.7894736842105263,0.75,0.7692307692307693,15,4,5,131
incubator-mxnet,24,30,SVM,0.8666666666666667,0.65,0.7428571428571429,13,2,7,133
incubator-mxnet,25,31,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,25,31,LR,0.46153846153846156,0.3,0.36363636363636365,6,7,14,128
incubator-mxnet,25,31,SVM,0.4444444444444444,0.2,0.27586206896551724,4,5,16,130
incubator-mxnet,26,32,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,26,32,LR,0.4,0.3,0.34285714285714286,6,9,14,126
incubator-mxnet,26,32,SVM,0.5555555555555556,0.25,0.3448275862068966,5,4,15,131
incubator-mxnet,27,33,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,27,33,LR,0.6875,0.55,0.6111111111111112,11,5,9,130
incubator-mxnet,27,33,SVM,0.6666666666666666,0.5,0.5714285714285714,10,5,10,130
incubator-mxnet,28,34,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,28,34,LR,0.6923076923076923,0.45,0.5454545454545454,9,4,11,131
incubator-mxnet,28,34,SVM,0.7,0.35,0.4666666666666667,7,3,13,132
incubator-mxnet,29,35,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,29,35,LR,0.75,0.45,0.5625,9,3,11,132
incubator-mxnet,29,35,SVM,0.7142857142857143,0.25,0.37037037037037035,5,2,15,133
incubator-mxnet,30,36,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,30,36,LR,0.5294117647058824,0.45,0.4864864864864865,9,8,11,127
incubator-mxnet,30,36,SVM,0.6428571428571429,0.45,0.5294117647058824,9,5,11,130
keras,1,7,NB,0.0,0.0,0.0,0,0,41,160
keras,1,7,LR,0.5681818181818182,0.6097560975609756,0.5882352941176471,25,19,16,141
keras,1,7,SVM,0.6875,0.5365853658536586,0.6027397260273972,22,10,19,150
keras,2,8,NB,0.0,0.0,0.0,0,0,41,160
keras,2,8,LR,0.7575757575757576,0.6097560975609756,0.6756756756756757,25,8,16,152
keras,2,8,SVM,0.8260869565217391,0.4634146341463415,0.59375,19,4,22,156
keras,3,9,NB,0.0,0.0,0.0,0,0,41,160
keras,3,9,LR,0.6578947368421053,0.6097560975609756,0.6329113924050633,25,13,16,147
keras,3,9,SVM,0.7,0.5121951219512195,0.5915492957746479,21,9,20,151
keras,4,10,NB,0.0,0.0,0.0,0,0,41,160
keras,4,10,LR,0.7741935483870968,0.5853658536585366,0.6666666666666666,24,7,17,153
keras,4,10,SVM,0.875,0.5121951219512195,0.6461538461538462,21,3,20,157
keras,5,11,NB,0.0,0.0,0.0,0,0,41,160
keras,5,11,LR,0.6756756756756757,0.6097560975609756,0.6410256410256411,25,12,16,148
keras,5,11,SVM,0.625,0.36585365853658536,0.46153846153846156,15,9,26,151
keras,6,12,NB,0.0,0.0,0.0,0,0,41,160
keras,6,12,LR,0.8,0.6829268292682927,0.7368421052631579,28,7,13,153
keras,6,12,SVM,0.8636363636363636,0.4634146341463415,0.6031746031746031,19,3,22,157
keras,7,13,NB,0.0,0.0,0.0,0,0,41,160
keras,7,13,LR,0.7368421052631579,0.6829268292682927,0.7088607594936709,28,10,13,150
keras,7,13,SVM,0.8387096774193549,0.6341463414634146,0.7222222222222222,26,5,15,155
keras,8,14,NB,0.0,0.0,0.0,0,0,41,160
keras,8,14,LR,0.7837837837837838,0.7073170731707317,0.7435897435897436,29,8,12,152
keras,8,14,SVM,0.7857142857142857,0.5365853658536586,0.6376811594202898,22,6,19,154
keras,9,15,NB,0.0,0.0,0.0,0,0,41,160
keras,9,15,LR,0.7096774193548387,0.5365853658536586,0.6111111111111112,22,9,19,151
keras,9,15,SVM,0.7916666666666666,0.4634146341463415,0.5846153846153846,19,5,22,155
keras,10,16,NB,0.0,0.0,0.0,0,0,41,160
keras,10,16,LR,0.5588235294117647,0.4634146341463415,0.5066666666666667,19,15,22,145
keras,10,16,SVM,0.6521739130434783,0.36585365853658536,0.46875,15,8,26,152
keras,11,17,NB,0.0,0.0,0.0,0,0,41,160
keras,11,17,LR,0.6666666666666666,0.5365853658536586,0.5945945945945946,22,11,19,149
keras,11,17,SVM,0.8076923076923077,0.5121951219512195,0.6268656716417911,21,5,20,155
keras,12,18,NB,0.0,0.0,0.0,0,0,41,160
keras,12,18,LR,0.6326530612244898,0.7560975609756098,0.6888888888888889,31,18,10,142
